Length,Year,Beam,Draft,Is_Mono,Is_Diesel,Engine_Count,Cabins,Is_Inboard,Year_Listed,Is_Fiberglass,Is_cruiser,Is_daysailer,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat
50.0,1977,13.67,5.5,1,1,1,4.0,1,2022,1,1,0,0,0,0,0,0,1,0
13.75,2013,4.7,2.7,1,0,0,0.0,0,2019,1,0,0,0,0,0,1,0,0,0
22.0,1976,7.83,3.42,1,0,0,1.0,0,2013,1,0,1,1,0,0,0,0,1,0
30.0,1980,10.0,3.0,1,1,1,1.0,1,2016,1,1,0,0,1,0,0,0,1,0
36.0,1983,11.83,6.67,1,1,1,1.0,1,2015,1,0,0,1,0,0,0,0,1,0
40.0,1997,13.5,5.0,1,1,1,2.0,1,2018,1,1,0,0,0,0,0,0,1,0
23.0,2017,8.4,4.6,1,0,0,1.0,0,2020,1,0,0,0,0,0,0,0,0,0
46.0,1980,14.3,6.0,1,1,1,2.0,1,2017,1,0,0,1,0,0,0,0,1,0
31.5,1976,10.5,5.0,1,1,2,2.0,1,2012,1,1,0,0,0,0,1,0,0,0
23.5,1988,8.2,2.9,1,0,1,1.0,0,2022,1,1,0,0,0,0,0,0,1,0
30.0,1974,9.5,5.0,1,1,1,2.0,1,2018,1,1,0,1,0,0,0,0,1,0
32.0,1995,11.3,4.3,1,1,1,1.0,1,2018,1,1,0,0,0,0,0,0,1,0
28.0,1992,10.2,3.1,1,1,1,3.0,1,2017,1,1,0,1,0,0,1,0,0,0
28.0,1987,10.0,4.0,1,1,1,2.0,1,2022,1,1,0,0,0,0,0,0,1,0
26.0,1986,8.7,4.1,1,1,1,1.0,1,2013,1,1,0,0,0,0,1,0,0,0
28.0,1989,9.0,3.0,1,1,1,1.0,1,2021,1,1,0,1,0,0,1,0,0,0
22.5,1989,8.0,3.8,1,0,1,1.0,1,2021,1,0,0,0,0,0,0,0,1,0
51.0,1992,15.6,6.0,1,1,1,3.0,1,2021,1,1,0,0,0,1,1,0,0,0
31.0,1973,12.0,4.7,1,1,1,1.0,0,2017,1,0,1,0,0,0,0,0,1,0
33.75,2001,11.67,4.5,1,1,1,2.0,1,2018,1,1,0,0,0,0,0,0,1,0
30.0,1984,10.8,4.4,1,1,1,2.0,1,2019,1,1,0,1,0,0,1,0,0,0
26.0,1979,9.6,4.6,1,1,1,1.0,1,2015,1,0,0,1,0,0,0,0,1,0
35.0,2000,11.9,4.1,1,1,1,3.0,1,2022,1,1,0,1,0,0,1,0,0,0
23.0,1986,7.7,2.5,1,0,0,1.0,0,2021,1,1,0,1,0,0,0,0,1,0
48.0,1959,13.5,5.0,1,1,1,3.0,1,2018,0,0,0,0,0,1,1,0,0,0
19.0,1984,6.0,2.0,1,0,1,1.0,0,2017,1,1,0,1,0,0,0,0,0,0
18.5,1978,6.3,2.75,1,0,1,1.0,0,2012,1,1,0,0,0,0,1,0,0,0
18.0,1973,8.0,2.0,1,0,1,1.0,0,2019,1,0,1,0,0,0,0,0,0,0
42.0,1983,13.17,6.0,1,1,1,3.0,1,2020,1,0,0,1,0,0,1,0,0,0
23.0,2017,7.2,3.1,1,0,0,1.0,0,2017,0,0,1,0,1,0,0,0,0,0
39.0,1981,10.5,5.6,1,1,1,2.0,1,2015,1,1,0,1,0,0,0,0,1,0
27.0,1973,9.0,4.0,1,0,1,2.0,1,2022,1,1,0,1,0,0,0,0,0,1
22.0,1965,7.0,3.0,1,1,1,1.0,1,2022,1,0,1,1,0,0,0,0,0,1
27.0,1983,8.6,4.0,1,1,1,2.0,1,2014,1,1,0,1,0,0,0,0,1,0
45.0,1979,11.0,6.0,1,1,1,2.0,1,2014,1,0,0,0,1,0,1,0,0,0
25.0,1986,7.0,5.0,1,0,1,1.0,1,2022,1,0,0,1,0,0,1,0,0,0
26.0,1975,8.0,5.0,1,0,1,1.0,0,2016,1,1,0,1,0,0,0,0,1,0
23.6,1974,8.0,3.7,1,0,0,1.0,0,2018,1,1,0,1,0,0,1,0,0,0
38.0,1985,11.9,4.6,1,1,1,3.0,1,2020,1,0,0,1,0,0,1,0,0,0
19.5,1972,6.5,2.75,1,0,0,1.0,0,2022,1,0,1,0,0,0,1,0,0,0
26.58,1975,9.25,4.25,1,0,1,1.0,1,2016,1,1,0,1,0,0,0,0,0,1
26.0,1985,9.1,4.5,1,1,1,1.0,1,2019,1,1,0,0,0,0,0,0,1,0
27.0,1984,9.5,4.5,1,0,1,1.0,1,2017,1,1,0,0,0,0,0,0,1,0
42.0,2003,13.1,5.2,1,1,1,2.0,1,2016,1,1,0,0,0,0,0,0,1,0
36.0,1971,11.4,4.7,1,1,1,1.0,1,2015,0,1,0,0,0,1,1,0,0,0
25.0,1975,8.0,3.92,1,0,0,1.0,0,2021,1,1,0,1,0,0,1,0,0,0
30.0,1980,10.83,5.25,1,0,1,1.0,1,2019,1,1,0,0,0,0,0,0,1,0
35.0,2008,13.0,4.6,1,1,1,2.0,1,2013,1,1,0,1,0,0,1,0,0,0
30.0,1986,10.5,5.5,1,1,1,3.0,1,2020,1,1,0,1,0,0,1,0,0,0
27.0,1978,8.0,3.75,1,1,1,2.0,1,2022,1,1,0,1,0,0,0,0,1,0
