Unnamed: 0,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Hull,Type,Cabins,Is_Mono,Is_Diesel,Is_Cutter,Is_Ketch,Is_masthead_sloop,Is_Excellent,Is_Fair,Is_Good,Is_project_boat,Motor_Type,Engine_Count,Is_Inboard,Year_Listed,Asking_Price_Adj
0,2012-03-04,4700.0,1980,22.6,7.1,4.3,Florida,fiberglass,monohull,racer,1.0,1,0,0,0,0,0,0,1,0,outboard,1,0,2012,5547.004712666709
1,2012-03-04,38500.0,1967,35.0,10.3,3.1,New York,fiberglass,monohull,cruiser,2.0,1,1,0,0,0,1,0,0,0,inboard,1,1,2012,45438.23009312091
2,2012-03-02,140000.0,2012,28.0,8.0,2.0,California,wood,monohull,motorsailer,0.0,1,0,0,1,0,0,0,0,0,inboard,1,1,2012,165229.92761134877
3,2012-03-01,25000.0,1968,30.0,5.0,4.0,Washington,wood,monohull,racer,1.0,1,0,0,0,0,1,0,0,0,motorless,0,0,2012,29505.34421631228
7,2012-02-27,15000.0,1979,28.25,10.25,4.5,Florida,fiberglass,monohull,cruiser,1.0,1,0,0,0,0,1,0,0,0,outboard,1,0,2012,17703.206529787367
11,2012-02-26,24900.0,1981,32.3,10.5,4.5,South Carolina,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2012,29387.322839447028
12,2012-02-23,5500.0,1981,19.0,8.0,6.0,Florida,fiberglass,catamaran,racer,0.0,0,0,0,0,0,1,0,0,0,motorless,0,0,2012,6491.175727588701
13,2012-02-23,11500.0,1977,30.0,10.2,3.9,Florida,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,1,0,inboard,1,1,2012,13572.458339503648
16,2012-02-21,5500.0,1973,26.0,8.4,3.6,Connecticut,fiberglass,monohull,cruiser,2.0,1,0,0,0,1,1,0,0,0,outboard,1,0,2012,6491.175727588701
17,2012-02-21,3400.0,1974,22.0,8.0,4.0,Ohio,fiberglass,monohull,daysailer,1.0,1,0,0,0,0,0,0,1,0,outboard,1,0,2012,4012.7268134184696
