Unnamed: 0,Model,Length,Beam,Draft,Year,Type,Location,Asking,posted_at,Material,Hull_Type,Is_Mono,Is_Diesel,Motor_Type,Engine_Count,Is_Inboard,Year_Listed,Asking_Price_Adj
0,Cape Cod Shipbuilding Bull's Eye w/new custom trailer,15.0,5.1,2.5,1974,daysailer,"Ithaca, New York",32500.0,2016-01-18,fiberglass ,monohull,1,0,motorless,0,0,2016,36692.783960467816
3,Columbia P9.6 Payne Model  327,31.5,10.0,5.6,1976,racer,"Palatka, Florida",9500.0,2016-01-16,fiberglass ,monohull,1,1,inboard,1,1,2016,10725.583003829057
5,Beneteau Oceanis 393,39.0,13.0,5.0,2003,cruiser,"Gloucester, Massachusetts",99000.0,2016-01-15,fiberglass ,monohull,1,1,inboard,1,1,2016,111771.8649872712
6,Laguna Laguna 26 Sloop,26.0,8.4,3.0,1984,daysailer,"Dayton, Nevada",13000.0,2016-01-15,fiberglass ,monohull,1,0,outboard,1,0,2016,14677.11358418713
7,Tartan 34C,34.5,10.2,3.11,1970,cruiser,"Toms River, New Jersey",19000.0,2016-01-14,fiberglass ,monohull,1,0,inboard,1,1,2016,21451.166007658117
10,Miura 31 Berkemeyer/NEBE,31.0,10.24,6.0,1978,racer,"Puerto lindo anchorage Panama Carribean, Outside United States",17000.0,2016-01-13,fiberglass ,monohull,1,1,inboard,1,1,2016,19193.148533167783
11,Olson 25,25.0,9.0,4.6,1988,cruiser,"CANYON LAKE, Texas",8900.0,2016-01-12,fiberglass ,monohull,1,0,outboard,1,0,2016,10048.177761481958
13,hinterhoeller 24 shark,24.0,6.1,3.2,1967,cruiser,"Prudence Island, Rhode Island",10100.0,2016-01-12,fiberglass ,monohull,1,0,inboard,1,1,2016,11402.988246176155
14,Hunter 23.5,23.5,8.5,5.5,1994,cruiser,"Tampa, Florida",8000.0,2016-01-11,fiberglass ,monohull,1,0,outboard,1,0,2016,9032.06989796131
15,John Alden Zephyr 959G,36.0,10.5,4.0,1962,racer,"Cape Coral, Florida",58000.0,2016-01-11,fiberglass ,monohull,1,1,inboard,1,1,2016,65482.5067602195
16,Seidelmann s245,24.0,8.0,4.0,1982,cruiser,"Tinicum, Pennsylvania",7000.0,2016-01-10,fiberglass ,monohull,1,0,outboard,1,0,2016,7903.061160716146
17,MacGregor 26x,26.0,8.0,2.0,2000,daysailer,"Saint Petersburg, Florida",16500.0,2016-01-10,fiberglass ,monohull,1,0,outboard,1,0,2016,18628.6441645452
18,Pearson Weekender/OD,26.0,8.67,4.0,1978,cruiser,"Saugatuck, Michigan",1400.0,2016-01-10,fiberglass ,monohull,1,0,motorless,0,0,2016,1580.6122321432294
19,Morgan Out Island 415,41.0,13.5,4.3,1977,cruiser,"Miami, Florida",72000.0,2016-01-08,fiberglass ,monohull,1,1,inboard,1,1,2016,81288.6290816518
20,Catalina Mark II,36.0,11.11,5.1,2001,cruiser,"San Diego, California",99000.0,2016-01-08,fiberglass ,monohull,1,0,inboard,1,1,2016,111771.8649872712
21,Pearson 323 Hull 319,35.0,10.5,4.5,1981,cruiser,"New Bedford, Massachusetts",27900.0,2022-01-24,fiberglass ,monohull,1,1,inboard,1,1,2022,27900.0
23,grampian 22,22.0,7.0,4.0,1973,daysailer,"Lakeland, Florida",900.0,2016-01-07,fiberglass ,monohull,1,0,motorless,0,0,2016,1016.1078635206476
25,Catalina 350 MKII,36.5,13.0,4.6,2008,motorsailer,"Tampa Bay, Florida",118000.0,2016-01-07,fiberglass ,monohull,1,1,inboard,1,1,2016,133223.03099492932
