,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
0,Catalina C42 MKII two cabin,29-Mar-2017,2000,42',14',4.10',North Carolina,"$139,900",fiberglass,monohull,cruiser,masthead sloop,2,excellent
1,Nelson Merek IOR Composite Racer 40,29-Mar-2017,1985,40',13',6'10',Florida,"$16,000",composite,monohull,racer/cruiser,masthead sloop,2,fair
2,Chris Craft sloop,28-Mar-2017,1974,27 2',8 4',"4 6""'",Michigan,$,fiberglass,monohull,daysailer,masthead sloop,1,fair
3,NYE Yachts Capedory ALBERG 22 SOLD,28-Mar-2017,1984,22',7',3.1',New Jersey,"$7,800",fiberglass,monohull,cruiser,masthead sloop,1,good
4,O'Day Sloop,28-Mar-2017,1988,35',11.3',5',Outside United States,"$29,000",fiberglass,monohull,cruiser,masthead sloop,1,good
5,D A Bamford 1968,27-Mar-2017,1968,21',7',1.5',Missouri,"$3,500",fiberglass,monohull,daysailer,masthead sloop,1,excellent
6,J Boat J35,27-Mar-2017,1986,35',11'10',6'11',Michigan,"$26,900",fiberglass,monohull,racer/cruiser,,,good
7,Catalina Catalina 22,27-Mar-2017,1979,22',',',Pennsylvania,"$4,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
8,Caliber 40 LRC LRC,27-Mar-2017,2003,40',12.7',5.1',Florida,"$230,000",fiberglass,monohull,cruiser,cutter,3,excellent
9,Glander Tavana 33,27-Mar-2017,1967,35',10-1',3',Florida,"$10,000",fiberglass,monohull,cruiser,yawl,1,good
10,Catalina Capri 14.2,27-Mar-2017,1988,14'2',6'2',3'6',California,"$2,200",fiberglass,monohull,daysailer,fractional sloop,,good
11,Swan 42,27-Mar-2017,1985,42',13',8',California,"$114,650",fiberglass,monohull,cruiser,,,excellent
12,West wight potter Pocket cruiser,26-Mar-2017,1974,15',8',6',California,"$2,500",fiberglass,monohull,other,other,1,excellent
13,Catalina Catalina 27 Tall Rig,26-Mar-2017,1984,27',8.6',4.6',Connecticut,"$6,000",fiberglass,monohull,cruiser,,1,excellent
