,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Type,Cabins,Is_Mono,Is_cruiser,Is_daysailer,Is_Diesel,Motor_Type,Engine_Count,Is_Fiberglass,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat,Is_Inboard,Year_Listed,Asking_Price_Adj
0,2016-01-18,32500.0,1974,15.0,5.1,2.5,New York,fiberglass,daysailer,0.0,1,0,1,0,motorless,0,1,0,0,0,1,0,0,0,0,2016,36692.783960467816
3,2016-01-16,9500.0,1976,31.5,10.0,5.6,Florida,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2016,10725.583003829057
4,2016-01-13,49000.0,1965,37.0,96.0,5.0,Florida,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2016,55321.42812501303
9,2016-01-12,10100.0,1967,24.0,6.1,3.2,Rhode Island,fiberglass,cruiser,1.0,1,1,0,0,inboard,1,1,0,0,0,0,0,1,0,1,2016,11402.988246176155
10,2016-01-11,8000.0,1994,23.5,8.5,5.5,Florida,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,0,0,0,0,0,1,0,0,2016,9032.06989796131
11,2016-01-11,58000.0,1962,36.0,10.5,4.0,Florida,fiberglass,racer,2.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2016,65482.5067602195
12,2016-01-10,7000.0,1982,24.0,8.0,4.0,Pennsylvania,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,0,1,0,1,0,0,0,0,2016,7903.061160716146
13,2016-01-10,16500.0,2000,26.0,8.0,2.0,Florida,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,1,0,0,1,0,0,0,0,2016,18628.6441645452
14,2016-01-10,1400.0,1978,26.0,8.67,4.0,Michigan,fiberglass,cruiser,1.0,1,1,0,0,motorless,0,1,0,0,0,0,0,0,0,0,2016,1580.6122321432294
15,2016-01-08,72000.0,1977,41.0,13.5,4.3,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,1,0,0,1,0,1,2016,81288.6290816518
17,2022-01-24,27900.0,1981,35.0,10.5,4.5,Massachusetts,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2022,27900.0
18,2016-01-07,229000.0,1974,51.0,15.3,6.6,Florida,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,1,1,0,0,0,1,2016,258543.00082914252
19,2016-01-07,900.0,1973,22.0,7.0,4.0,Florida,fiberglass,daysailer,1.0,1,0,1,0,motorless,0,1,0,0,0,0,0,0,0,0,2016,1016.1078635206475
21,2016-01-07,118000.0,2008,36.5,13.0,4.6,Florida,fiberglass,motorsailer,2.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2016,133223.03099492932
22,2016-01-07,235000.0,2015,41.3,13.17,5.2,Florida,fiberglass,motorsailer,2.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2016,265317.05325261346
23,2016-01-06,96500.0,2003,36.5,13.0,4.6,Florida,fiberglass,motorsailer,2.0,1,0,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2016,108949.34314415831
25,2016-01-05,75000.0,1986,43.0,14.0,6.0,Outside United States,fiberglass,cruiser,5.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2016,84675.65529338729
26,2016-01-05,49900.0,1982,38.0,12.0,5.0,North Carolina,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2016,56337.53598853367
27,2016-01-05,21900.0,1973,36.0,10.4,7.0,California,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,1,0,0,1,0,1,2016,24725.291345669088
29,2016-01-04,175000.0,1979,43.0,11.5,6.0,Outside United States,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,1,0,0,0,1,0,1,2016,197576.52901790367
30,2016-01-03,11900.0,1982,30.0,10.5,5.8,Wisconsin,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2016,13435.203973217449
31,2016-01-01,12500.0,1988,30.6,10.6,28.0,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2016,14112.609215564547
32,2016-01-01,8500.0,1986,25.0,8.0,5.0,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2016,9596.574266583892
33,2015-12-31,18500.0,1979,45.0,10.4,4.1,Outside United States,wood,cruiser,1.0,1,1,0,1,inboard,1,0,0,0,1,0,0,1,0,1,2015,21150.149567330616
