Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
Gary Mull Ranger 22,04-Mar-2012,"$4,700",1 gas outboard,1980,22'6',7'10',4' 3',Florida,fiberglass,monohull,racercruiser,fractional sloop,1.0,good
Allied Seabreeze,04-Mar-2012,"$38,500",1 diesel inboard,1967,35',10'3',3'10',New York,fiberglass,monohull,cruiser,yawl,2.0,excellent
Bunji Yachts 28,02-Mar-2012,"$140,000",1 gas inboard,2012,28',8',2',California,wood,monohull,motorsailer,ketch,0.0,new
SAVELL INTERNATIONAL DRAGON,01-Mar-2012,"$25,000",,1968,30',5',4',Washington,wood,monohull,racer,fractional sloop,1.0,excellent
HUNTER 410,01-Mar-2012,"$159,995",1 diesel inboard,2000,41'1',13'10',5'',Florida,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Philip rhodes sailboat ranger 28'6,01-Mar-2012,"$200,235",1 diesel inboard,1971,29',5.7',2.9',,fiberglass,monohull,cruiser,masthead sloop,2.0,good
San Juan 7.7,29-Feb-2012,"$13,400",1 gas outboard,1979,26',9.5',4',Outside United States,fiberglass,,cruiser,fractional sloop,,excellent
O'Day Auxiliary Sloop,27-Feb-2012,"$15,000",1 gas outboard,1979,28.25',10.25',4.5',Florida,fiberglass,monohull,cruiser,other,1.0,excellent
Wauquiez Centerboard sloop,27-Feb-2012,"$64,995",1 diesel inboard,1985,38',11'10',4'6',Florida,fiberglass,monohull,,masthead sloop,2.0,excellent
DUFOUR 38 classic,27-Feb-2012,"$105,000", diesel inboard,1999,38',',',Outside United States,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
North End Marine Stellar-30,26-Feb-2012,"$16,000",1 diesel inboard,1986,30',9',5.5',Maryland,fiberglass,monohull,,masthead sloop,1.0,good
Pearson 323,26-Feb-2012,"$24,900",1 diesel inboard,1981,32.3',10.5',4.5',South Carolina,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Nacra 5.8,23-Feb-2012,"$5,500",,1981,19',8',6'',Florida,fiberglass,catamaran,racer,cat boat,0.0,excellent
Hunter Cherubini,23-Feb-2012,"$11,500",1 diesel inboard,1977,30',10' 2',3' 9',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Hunter 41 AC,22-Feb-2012,"$171,000",1 diesel inboard,2004,41',13'3'',6'6''',California,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Elan 431 Team,22-Feb-2012,"$83,000",1 diesel inboard,1997,44',13'2'',6'6'',Outside United States,fiberglass,monohull,,masthead sloop,5.0,good
Grampian G26,21-Feb-2012,"$5,500",1 gas outboard,1973,26'',8'4',3'6',Connecticut,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Tanzer 22,21-Feb-2012,"$3,400",1 gas outboard,1974,22',8',4',Ohio,fiberglass,monohull,daysailer,,1.0,good
 Folkboat,20-Feb-2012,"$20,000",1 gas outboard,1962,24',',',Oregon,wood,monohull,daysailer,,,excellent
Beneteau First 36.7,20-Feb-2012,"$104,000",1 diesel inboard,2003,36',11.4',7.2',Connecticut,fiberglass,monohull,racercruiser,fractional sloop,3.0,excellent
Precision Precision 15,19-Feb-2012,"$2,300",1 gas outboard,1992,15',7',0-6',Florida,fiberglass,monohull,daysailer,fractional sloop,0.0,good
Whitby Alberg,19-Feb-2012,"$17,000",1 gas outboard,1966,30',"8'9""'","4'3""'",Texas,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hunter 30T,18-Feb-2012,"$35,900",1 diesel inboard,1991,30'',11'',4'3',California,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
PEARSON pearson 39  wing keel  sloop,17-Feb-2012,"$89,500",1 diesel inboard,1990,39',12',5'2',New York,fiberglass,monohull,,masthead sloop,3.0,excellent
Les Coffrages Modernes Pegase 38,16-Feb-2012,"$73,000",1 diesel inboard,1984,38',',',Outside United States,other,monohull,cruiser,ketch,2.0,excellent
Bavaria 30 Cruiser,15-Feb-2012,"$94,900", diesel inboard,2007,31',10'9',4'7',Connecticut,fiberglass,monohull,cruiser,,2.0,excellent
FARR 37 FARR 37,14-Feb-2012,"$43,900",1 diesel inboard,1984,37.5',12.2',7',,fiberglass,monohull,,masthead sloop,3.0,good
Dreadnaught 32,10-Feb-2012,"$15,000",1 diesel inboard,1975,32',',',Texas,fiberglass,monohull,cruiser,masthead sloop,1.0,project boat
CAL 31.5,08-Feb-2012,"$14,000",1 diesel inboard,1983,31.5',10'',5.5',Texas,fiberglass,monohull,racercruiser,masthead sloop,2.0,good
Island Packet 440,08-Feb-2012,"$399,000",1 diesel inboard,2007,45',14',5',California,fiberglass,monohull,cruiser,cutter,2.0,excellent
Beneteau 36CC,07-Feb-2012,"$105,000",1 diesel inboard,2000,36',12',5',California,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Montego ,07-Feb-2012,"$7,500", gas outboard,1984,25'3',9'1',3'6',Outside United States,fiberglass,monohull,cruiser,,,good
Island Packet 35,07-Feb-2012,"$89,000",1 diesel inboard,1989,35',12',4.5',North Carolina,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Hobbie Mirage,07-Feb-2012,"$3,850",0 gas inboard,1992,20',',',Texas,fiberglass,catamaran,racer,other,0.0,good
Columbia cruiser,07-Feb-2012,"$12,000",1 diesel inboard,1969,36',11',6',Florida,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Morgan Sea Island,06-Feb-2012,"$24,900",1 diesel inboard,1974,33',14',4',Texas,fiberglass,monohull,cruiser,,1.0,good
jboat J80,06-Feb-2012,"$34,000",1 gas outboard,1997,26',8'3',4'11',Outside United States,fiberglass,monohull,racer,,0.0,excellent
Tanzer 26,03-Feb-2012,"$8,950",1 diesel inboard,1976,26',8.7',3.83',New Jersey,fiberglass,monohull,daysailer,masthead sloop,2.0,good
PEARSON 34,02-Feb-2012,"$39,900",1 diesel inboard,1975,34',11',4',Florida,fiberglass,monohull,cruiser,,1.0,excellent
