,Model,Length: ,    Beam:,    Draft:,Year: ,Type: ,Hull: ,Location: ,Asking: ,posted_at,Engine: 
0,Cape Cod Shipbuilding Bull's Eye w/new custom trailer,15',5.10',2.5',1974,daysailer,fiberglass  monohull,"Ithaca, New York","$32,500",18-Jan-2016,
19,AMF Sunfish,',,,1985,daysailer,fiberglass  monohull,"Isle of Palms, South Carolina",$450,17-Jan-2016, gas inboard
39,Catalina c-36 auxiliary sloop,36',11'11',44',1983,cruiser,fiberglass  monohull,"Fort Lauderdale, Florida","$25,000",17-Jan-2016,1 diesel inboard
59,Columbia P9.6 Payne Model  327,31.5',10'',5'6''',1976,racer/cruiser,fiberglass  monohull,"Palatka, Florida","$9,500",16-Jan-2016,1 diesel inboard
79,Macgregor 25,25',7.92'',1.50',1983,cruiser,fiberglass  monohull,"King George, Virginia","$3,500",15-Jan-2016,1 gas outboard
99,Beneteau Oceanis 393,39',13',5',2003,cruiser,fiberglass  monohull,"Gloucester, Massachusetts","$99,000",15-Jan-2016,1 diesel inboard
119,Laguna Laguna 26 Sloop,26',8.4',3',1984,daysailer,fiberglass  monohull,"Dayton, Nevada","$13,000",15-Jan-2016,1 gas outboard
139,Tartan 34C,34' 5',10' 2',3' 11',1970,cruiser,fiberglass  monohull,"Toms River, New Jersey","$19,000",14-Jan-2016,1 gas inboard
159,Tartan 1965 Blackwatch Yawl,37',96',5',1965,racer/cruiser,fiberglass  monohull,"La Bell, Florida","$49,000",13-Jan-2016,1 diesel inboard
179,Miura 31,31',,,1978,cruiser,fiberglass  monohull,"Currently lying in Panama Caribbean side, Outside United States","$19,000",13-Jan-2016, diesel inboard
199,Miura 31 Berkemeyer/NEBE,31',10.24',6',1978,racer/cruiser,fiberglass  monohull,"Puerto lindo anchorage Panama Carribean, Outside United States","$17,000",13-Jan-2016,1 diesel inboard
219,Olson 25,25',9',4'6',1988,cruiser,fiberglass  monohull,"CANYON LAKE, Texas","$8,900",12-Jan-2016,1 gas outboard
239,irwin 52,52',,,,cruiser,fiberglass  monohull,,"$190,000",12-Jan-2016,1 diesel inboard
255,hinterhoeller 24 shark,24',6'10',3'2',1967,cruiser,fiberglass  monohull,"Prudence Island, Rhode Island","$10,100",12-Jan-2016,1 gas inboard
275,Hunter 23.5,23.5',8.5',5.5',1994,cruiser,fiberglass  monohull,"Tampa, Florida","$8,000",11-Jan-2016,1 gas outboard
295,John Alden Zephyr 959G,36',10.5',4',1962,racer/cruiser,fiberglass  monohull,"Cape Coral, Florida","$58,000",11-Jan-2016,1 diesel inboard
315,Seidelmann s245,24',8',4',1982,cruiser,fiberglass  monohull,"Tinicum, Pennsylvania","$7,000",10-Jan-2016,1 gas outboard
335,MacGregor 26x,26',8',2',2000,daysailer,fiberglass  monohull,"Saint Petersburg, Florida","$16,500",10-Jan-2016,1 gas outboard
355,Pearson Weekender/OD,26',8.67',4',1978,cruiser,fiberglass  monohull,"Saugatuck, Michigan","$1,400",10-Jan-2016,0 gas outboard
375,Morgan Out Island 415,41',13.5',4.3',1977,cruiser,fiberglass  monohull,"Miami, Florida","$72,000",08-Jan-2016,1 diesel inboard
395,Catalina Mark II,36',11'11',5'10',2001,cruiser,fiberglass  monohull,"San Diego, California","$99,000",08-Jan-2016, gas inboard
415,Pearson 323 Hull 319,35',10.5',4.5',1981,cruiser,fiberglass  monohull,"New Bedford, Massachusetts","$27,900",24-Jan-2022,1 diesel inboard
435,Formosa ,51',15'3',6' 6',1974,cruiser,fiberglass  monohull,"Palm Beach Gardens, Florida","$229,000",07-Jan-2016,1 diesel inboard
455,grampian 22,22',7',4',1973,daysailer,fiberglass  monohull,"Lakeland, Florida",$900,07-Jan-2016,0 gas outboard
475,Catalina 22,22',7'8',,1986,cruiser,fiberglass  monohull,"Percy Priest Lake Nashville, Tennessee","$6,000",07-Jan-2016,1 gas outboard
495,Catalina 350 MKII,36.5',13',4.6',2008,motorsailer,fiberglass  monohull,"Tampa Bay, Florida","$118,000",07-Jan-2016,1 diesel inboard
515,Hunter 40,41.3',13.17',5.2',2015,motorsailer,fiberglass  monohull,"Saint Petersburg, Florida","$235,000",07-Jan-2016,1 diesel inboard
535,Catalina 350,36.5',13',4'6',2003,motorsailer,fiberglass  monohull,"Tampa Bay, Florida","$96,500",06-Jan-2016,1 diesel inboard
555,Herreshoff Eagle,22',8',2.5',1978,other,fiberglass  monohull,"Orlando, Florida","$9,000",06-Jan-2016,1 gas outboard
575,Beneteau Oceanis 430,43',14',6',1986,cruiser,fiberglass  monohull,"Rome Italy, Outside United States","$75,000",05-Jan-2016, diesel inboard
595,Morgan 383,38',12',5',1982,cruiser,fiberglass  monohull,"Beaufort, North Carolina","$49,900",05-Jan-2016,1 diesel inboard
615,Dickerson Dickerson 36 Ketch,36',10.4',7',1973,cruiser,fiberglass  monohull,"Chula Vista, California","$21,900",05-Jan-2016,1 diesel inboard
635,Peterson 35,35',,,1975,racer/cruiser,fiberglass  monohull,"Sodus Point, New York","$17,500",04-Jan-2016,1 diesel inboard
655,Daysail Charter Tayana 37,43',11.5',6',1979,cruiser,fiberglass  monohull,"St John USVI, Outside United States","$175,000",04-Jan-2016,1 diesel inboard
675,Cal 9.2,30',10.5',5'8',1982,racer/cruiser,fiberglass  monohull,"Saxon Harbor, Wisconsin","$11,900",03-Jan-2016,1 diesel inboard
695,mebe boatbuilders Haute Bay RSA Muira 31,30.6',10.6',28',1988,cruiser,fiberglass  monohull,"English Harbour Antigua West Indies, Outside United States","$12,500",01-Jan-2016,1 diesel inboard
715,Catalina 25 Swing keel shoal draft inboard diesel,25',8',5',1986,cruiser,fiberglass  monohull,"South Beach Miami, Florida","$8,500",01-Jan-2016,1 diesel inboard
735,John Atkins Maytime,45',10'4',4'10',1979,cruiser,wood  monohull,"Victoria, Outside United States","$18,500",31-Dec-2015,1 diesel inboard
755,Vanguard Laser,14',4.56',2.62',2004,daysailer,fiberglass  monohull,"SouthportFairfield, Connecticut","$3,200",30-Dec-2015,
773,Morgan Yachts 36-5,36',11.83',6.67',1983,racer/cruiser,fiberglass  monohull,"Guilford, Connecticut","$37,900",29-Dec-2015,1 diesel inboard
793,Catalina 320,32',11.75',4.5',1998,cruiser,fiberglass  monohull,"Mandeville, Louisiana","$54,000",29-Dec-2015,1 diesel inboard
813,Jeanneau 45 DS Sun Odyssey  deck Salon,45',14.4',6.7',2008,daysailer,fiberglass  monohull,"Willsboro Lake Champlain, New York","$245,000",28-Dec-2015,1 diesel inboard
833,Pearson ,28',9.3',5',1982,cruiser,fiberglass  monohull,"Raritan Bay, New Jersey","$15,500",28-Dec-2015,1 diesel inboard
853,Hunter H34,34',11.6',4.3',1983,cruiser,fiberglass  monohull,"Fort Lauderdale, Florida","$16,000",27-Dec-2015,1 diesel inboard
873,Forgus 35,34',120',6',1979,cruiser,fiberglass  monohull,"St Martin, Outside United States","$45,000",24-Dec-2015,1 diesel inboard
893,Hunter 25,25',9',4.5',1984,cruiser,fiberglass  monohull,"Miami, Florida","$4,500",24-Dec-2015,1 gas outboard
913,Sabre 402,40',13'4',4'11',1996,racer/cruiser,fiberglass  monohull,"Oriental, North Carolina","$199,900",23-Dec-2015,1 diesel inboard
933,Hunter 466,45',14',6',2002,cruiser,fiberglass  monohull,"Rio Dulce Guatemala, Outside United States","$169,000",22-Dec-2015,1 diesel inboard
953,Jeanneau Sun Odyssey 49 Performance,49',15',7.5',2007,cruiser,fiberglass  monohull,"San Diego, California","$255,000",20-Dec-2015,1 diesel inboard
973,Catalina 30,30',11',5'3',1979,cruiser,fiberglass  monohull,"Port Aransas, Texas","$10,000",19-Dec-2015,2 diesel inboard
993,Dufour Arpege,30',9',5',1972,cruiser,fiberglass  monohull,"Tortola British Virgin Islands, Outside United States","$22,000",19-Dec-2015,1 diesel inboard
1013, flying scot,19',6.75',4',1970,daysailer,fiberglass  monohull,,"$1,000",18-Dec-2015,
1029,Canadian Sailcraft CS33,33',10',,1983,racer/cruiser,fiberglass  monohull,"Toronto Canada, Outside United States","$32,800",18-Dec-2015,1 diesel inboard
1049,Luger Leeward,16',,,1968,daysailer,fiberglass  monohull,"Stockton, California","$1,200",16-Dec-2015,1 gas outboard
1069,AMF Alcort Sunfish,14',,,,daysailer,fiberglass  monohull,"Otisville, New York","$1,200",14-Dec-2015,
1085,Vanguard Laser,14'',,,1982,dinghy,fiberglass  monohull,"DeLand, Florida","$1,100",13-Dec-2015,
1103,KELLS CORP KELLS23,22'7',7'9',11',1974,cruiser,fiberglass  monohull,"bailey island, Maine","$1,200",13-Dec-2015,0 gas outboard
1123,Tillotson Pearson J24,24',8.9',4',1988,racer,fiberglass  monohull,"Solomons, Maryland","$10,000",13-Dec-2015,1 gas outboard
1143,Celestial 48' Celestial 48 Ketch,48',13'5',6'6',1985,cruiser,fiberglass  monohull,"Long Island, New York","$120,000",11-Dec-2015,1 diesel inboard
1163,Alberg 30,30',8',4',1965,racer/cruiser,fiberglass  monohull,"Arnold, Maryland","$10,500",09-Dec-2015,1 gas inboard
1183,Henriques&Oland Brothers Denmark Elvstrom&Jan Kiarulf 44  Aluminium Cutter,44',12.5',6.5',1987,cruiser,aluminum  monohull,"Turkey, Outside United States","$195,000",09-Dec-2015,1 diesel inboard
1203,Morgan 24/25,25',8',3',1968,daysailer,fiberglass  monohull,"Montgomery, Alabama","$10,000",08-Dec-2015,1 gas outboard
1223,Jensen Cal 2-27,27',9.3',4.3',2015,cruiser,fiberglass  monohull,"Dana Point Harbor, California","$19,950",07-Dec-2015,1 diesel inboard
1243,Hutchins Com-Pac ComPac 16 Yacht,16',5',,1983,cruiser,fiberglass  monohull,"Magnolia Springs, Alabama","$4,000",07-Dec-2015,1 gas outboard
1263,CSY 44 Pilothouse,44',13'4',4'11',1981,cruiser,fiberglass  monohull,"Sint Maarten, Outside United States","$75,000",06-Dec-2015,1 diesel inboard
1283,Hunter 420,42',13'10',5',2004,cruiser,fiberglass  monohull,"San Carlos Mexico, Outside United States","$144,950",06-Dec-2015,1 diesel inboard
1303,Catalina Catalina 25 tall rig,25',8',4',1984,cruiser,fiberglass  monohull,"Nyack Boat Club, New York","$6,000",05-Dec-2015,1 gas outboard
1323,Vanguard Laser,14',4' 7',2' 8',2007,racer,fiberglass  monohull,"Orlando, Florida","$3,100",04-Dec-2015,
1341,Seafarer 23,23',7.17'',3.25'',1978,cruiser,fiberglass  monohull,"Surf City, North Carolina",$900,04-Dec-2015,
1359,Columbia 8.7,28',10',4',1976,cruiser,fiberglass  monohull,"Sandpiper Marina Port ST Lucie, Florida","$8,000",03-Dec-2015,1 diesel inboard
1379,Beneteau FC-8,26',8',2.5',1985,racer,fiberglass  monohull,"Yorktown, Virginia","$4,500",02-Dec-2015,1 gas outboard
1399,Custom Auxiliary Cutter,48',13',10',1981,cruiser,fiberglass  monohull,"Stonington, Connecticut","$225,000",02-Dec-2015,1 diesel inboard
1435,Laguna ,30',10',4',1986,cruiser,fiberglass  monohull,"Great Lakes Yaught Club St Clare Shores Michigan, Michigan","$25,000",02-Dec-2015,1 diesel inboard
1455,CATAMARAN PARTNERSHIP,33',19',4',2003,cruiser,fiberglass  catamaran,"San Diego, California","$5,000",02-Dec-2015,2 gas outboard
1475,Westerly 31 longbow,31',10',4.5',1972,cruiser,fiberglass  monohull,"Palmetto, Florida","$12,000",01-Dec-2015,1 diesel inboard
1495,Macgregor ,25.5',7.92'',5.67'',1983,daysailer,fiberglass  monohull,"Savannah, Georgia","$4,500",01-Dec-2015,1 gas outboard
1515,Catalina 36,36',12',6',1983,racer/cruiser,fiberglass  monohull,"Sequim, Washington","$45,000",30-Nov-2015,1 diesel inboard
1535,Catalina 22,22',8',2',1983,daysailer,fiberglass  monohull,"Kemah, Texas","$6,000",29-Nov-2015,1 gas outboard
0,Al Mason Vitesse 36,36',10',4',1971,cruiser,wood  monohull,"Rockland, Maine","$19,900",22-Jun-2021, diesel inboard
21,Hunter 28.5,28',11',5',1985,cruiser,fiberglass  monohull,"Middle river, Maryland","$11,000",22-Jun-2021,1 diesel inboard
41,Merit Merit 25,25',8',4',1982,racer/cruiser,fiberglass  monohull,"Northern Chesapeake bay, Maryland","$5,300",21-Jun-2021,1 gas inboard
61,Lippincott 30,30',10',5',1979,racer/cruiser,fiberglass  monohull,"Barrington, Rhode Island","$18,500",21-Jun-2021,1 diesel inboard
81,Corsair Pulse 600,19',24',2',2016,daysailer,other  monohull,"Hayden, Idaho","$37,000",21-Jun-2021,0 gas inboard
101,Catalina 375,37',13',6'10',2008,cruiser,fiberglass  monohull,"Pt Richmond, California","$169,000",20-Jun-2021,1 diesel inboard
121,Hunter 240,24',8.25',5.5',1999,cruiser,fiberglass  monohull,"Indian Creek Marina, Missouri","$9,995",20-Jun-2021,1 gas outboard
141,Lippincott Snipe,15',5',3.25',1966,daysailer,wood  monohull,"Port orange, Florida","$3,000",20-Jun-2021,
159,Hobie Getaway,17',,,2008,daysailer,fiberglass  catamaran,"Havens Beach Sag Harbor Ny, New York","$5,500",21-Jun-2022,
178,Hunter Cherubini design cutter ,37',12',6',1984,cruiser,fiberglass  monohull,"Dartmouth Nova Scotia, Outside United States","$60,000",20-Jun-2021,1 diesel inboard
198,Freedom Yachts Freedom 32,33',12',6',1985,cruiser,fiberglass  monohull,"Cortez, Florida","$28,000",19-Jun-2021,1 diesel inboard
218,Aloha 32,32',10',5',1983,cruiser,fiberglass  monohull,"Newport, Rhode Island","$29,900",19-Jun-2021,1 diesel inboard
238,tartan 27,27',8'7',3'',1968,racer/cruiser,fiberglass  monohull,"Grosse Point Park, Michigan","$9,500",19-Jun-2021,1 diesel inboard
258,Tartan 37,37',,,1982,racer/cruiser,fiberglass  monohull,"Oriental, North Carolina","$36,900",19-Jun-2021, diesel inboard
278,Irwin 37 center cockpit ketch,37',,,1981,cruiser,fiberglass  monohull,"Oriental, North Carolina","$21,900",19-Jun-2021, diesel inboard
298,AMF Alcort Sunfish,14',,,1975,daysailer,fiberglass  monohull,"Pawleys Island, South Carolina","$1,700",18-Jun-2021, gas inboard
318,Rawson 30,30',9',5',1962,cruiser,fiberglass  monohull,"San Carlos Sonora Mexico, Arizona","$6,900",18-Jun-2021,1 diesel inboard
338,Montego 25,25',9',4',1983,cruiser,fiberglass  monohull,"Cincinnati, Ohio","$10,995",18-Jun-2021,
